Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD13Q1_006_Line_Y_250m,MOD13Q1_006_Sample_X_250m,MOD13Q1_006__250m_16_days_EVI,MOD13Q1_006__250m_16_days_NDVI,MOD13Q1_006__250m_16_days_composite_day_of_the_year,MOD13Q1_006__250m_16_days_VI_Quality,MOD13Q1_006__250m_16_days_pixel_reliability,MOD13Q1_006__250m_16_days_VI_Quality_bitmask,MOD13Q1_006__250m_16_days_VI_Quality_MODLAND,MOD13Q1_006__250m_16_days_VI_Quality_MODLAND_Description,MOD13Q1_006__250m_16_days_VI_Quality_VI_Usefulness,MOD13Q1_006__250m_16_days_VI_Quality_VI_Usefulness_Description,MOD13Q1_006__250m_16_days_VI_Quality_Aerosol_Quantity,MOD13Q1_006__250m_16_days_VI_Quality_Aerosol_Quantity_Description,MOD13Q1_006__250m_16_days_VI_Quality_Adjacent_cloud_detected,MOD13Q1_006__250m_16_days_VI_Quality_Adjacent_cloud_detected_Description,MOD13Q1_006__250m_16_days_VI_Quality_Atmosphere_BRDF_Correction,MOD13Q1_006__250m_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description,MOD13Q1_006__250m_16_days_VI_Quality_Mixed_Clouds,MOD13Q1_006__250m_16_days_VI_Quality_Mixed_Clouds_Description,MOD13Q1_006__250m_16_days_VI_Quality_Land/Water_Mask,MOD13Q1_006__250m_16_days_VI_Quality_Land/Water_Mask_Description,MOD13Q1_006__250m_16_days_VI_Quality_Possible_snow/ice,MOD13Q1_006__250m_16_days_VI_Quality_Possible_snow/ice_Description,MOD13Q1_006__250m_16_days_VI_Quality_Possible_shadow,MOD13Q1_006__250m_16_days_VI_Quality_Possible_shadow_Description,MOD13Q1_006__250m_16_days_pixel_reliability_bitmask,MOD13Q1_006__250m_16_days_pixel_reliability_MODLAND,MOD13Q1_006__250m_16_days_pixel_reliability_MODLAND_Description
,Ne1,41.16506,-96.47664,2008-06-25,h10v04,4240.0,3537.0,0.5721,0.8159,179.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2008-07-11,h10v04,4240.0,3537.0,0.7607,0.8883,197.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2008-07-27,h10v04,4240.0,3537.0,0.656,0.8778,220.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2008-08-12,h10v04,4240.0,3537.0,0.5941,0.8444,236.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2008-08-28,h10v04,4240.0,3537.0,0.5915,0.8083,245.0,2181.0,1.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000001,0b00000000000000000000000000000001,"Marginal data, Useful, but look at other QA information"
,Ne1,41.16506,-96.47664,2008-09-13,h10v04,4240.0,3537.0,0.4293,0.7199,261.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2008-09-29,h10v04,4240.0,3537.0,0.2111,0.4256,284.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2008-10-15,h10v04,4240.0,3537.0,0.1592,0.3369,293.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2008-10-31,h10v04,4240.0,3537.0,0.1375,0.2938,307.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2008-11-16,h10v04,4240.0,3537.0,0.0831,0.2273,332.0,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2008-12-02,h10v04,4240.0,3537.0,0.1282,0.2437,348.0,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2008-12-18,h10v04,4240.0,3537.0,0.1306,0.2382,5.0,2120.0,0.0,0b0000100001001000,0b00,VI produced with good quality,0b0010,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-01-01,h10v04,4240.0,3537.0,0.1306,0.2382,5.0,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-01-17,h10v04,4240.0,3537.0,0.1207,0.2279,21.0,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-02-02,h10v04,4240.0,3537.0,0.1277,0.2194,41.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-02-18,h10v04,4240.0,3537.0,0.1317,0.2317,55.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-03-06,h10v04,4240.0,3537.0,0.1282,0.226,78.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-03-22,h10v04,4240.0,3537.0,0.1207,0.2445,96.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-04-07,h10v04,4240.0,3537.0,0.1462,0.2533,112.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-04-23,h10v04,4240.0,3537.0,0.1512,0.2685,114.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-05-09,h10v04,4240.0,3537.0,0.261,0.4456,129.0,2116.0,1.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000001,0b00000000000000000000000000000001,"Marginal data, Useful, but look at other QA information"
,Ne1,41.16506,-96.47664,2009-05-25,h10v04,4240.0,3537.0,0.2115,0.362,149.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-06-10,h10v04,4240.0,3537.0,0.715,0.8577,176.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-06-26,h10v04,4240.0,3537.0,0.7454,0.9078,181.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-07-12,h10v04,4240.0,3537.0,0.791,0.9179,206.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-07-28,h10v04,4240.0,3537.0,0.7212,0.8986,220.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-08-13,h10v04,4240.0,3537.0,0.6918,0.8823,236.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-08-29,h10v04,4240.0,3537.0,0.7322,0.8557,242.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-09-14,h10v04,4240.0,3537.0,0.4751,0.7025,263.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-09-30,h10v04,4240.0,3537.0,0.2745,0.4525,282.0,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-10-16,h10v04,4240.0,3537.0,0.1782,0.346,300.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-11-01,h10v04,4240.0,3537.0,0.1079,0.2459,311.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-11-17,h10v04,4240.0,3537.0,0.1759,0.2283,334.0,3154.0,3.0,0b0000110001010010,0b10,"Pixel produced, but most probably cloudy",0b0100,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000011,0b00000000000000000000000000000011,"Cloudy data, Target not visible, covered with cloud"
,Ne1,41.16506,-96.47664,2009-12-03,h10v04,4240.0,3537.0,0.1144,0.2251,339.0,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2009-12-19,h10v04,4240.0,3537.0,-0.0234,-0.022,354.0,18453.0,2.0,0b0100100000010101,0b01,"VI produced, but check other QA",0b0101,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b1,Yes,0b0,No,0b00000000000000000000000000000010,0b00000000000000000000000000000010,Snow/Ice Target covered with snow/ice
,Ne1,41.16506,-96.47664,2010-01-01,h10v04,4240.0,3537.0,-0.0501,-0.0319,1.0,18449.0,2.0,0b0100100000010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b1,Yes,0b0,No,0b00000000000000000000000000000010,0b00000000000000000000000000000010,Snow/Ice Target covered with snow/ice
,Ne1,41.16506,-96.47664,2010-01-17,h10v04,4240.0,3537.0,-0.0372,-0.0265,26.0,18449.0,2.0,0b0100100000010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b1,Yes,0b0,No,0b00000000000000000000000000000010,0b00000000000000000000000000000010,Snow/Ice Target covered with snow/ice
,Ne1,41.16506,-96.47664,2010-02-02,h10v04,4240.0,3537.0,-0.0368,-0.0238,48.0,18449.0,2.0,0b0100100000010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b1,Yes,0b0,No,0b00000000000000000000000000000010,0b00000000000000000000000000000010,Snow/Ice Target covered with snow/ice
,Ne1,41.16506,-96.47664,2010-02-18,h10v04,4240.0,3537.0,-0.0229,-0.0162,59.0,18449.0,2.0,0b0100100000010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b1,Yes,0b0,No,0b00000000000000000000000000000010,0b00000000000000000000000000000010,Snow/Ice Target covered with snow/ice
,Ne1,41.16506,-96.47664,2010-03-06,h10v04,4240.0,3537.0,0.1075,0.2072,77.0,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2010-03-22,h10v04,4240.0,3537.0,0.166,0.2259,87.0,3154.0,3.0,0b0000110001010010,0b10,"Pixel produced, but most probably cloudy",0b0100,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000011,0b00000000000000000000000000000011,"Cloudy data, Target not visible, covered with cloud"
,Ne1,41.16506,-96.47664,2010-04-07,h10v04,4240.0,3537.0,0.1652,0.2631,99.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2010-04-23,h10v04,4240.0,3537.0,0.1664,0.2545,122.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2010-05-09,h10v04,4240.0,3537.0,0.2253,0.2805,129.0,2182.0,3.0,0b0000100010000110,0b10,"Pixel produced, but most probably cloudy",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000011,0b00000000000000000000000000000011,"Cloudy data, Target not visible, covered with cloud"
,Ne1,41.16506,-96.47664,2010-05-25,h10v04,4240.0,3537.0,0.2603,0.3804,154.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2010-06-10,h10v04,4240.0,3537.0,0.5271,0.7361,168.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2010-06-26,h10v04,4240.0,3537.0,0.6628,0.8279,177.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2010-07-12,h10v04,4240.0,3537.0,0.7732,0.8845,195.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2010-07-28,h10v04,4240.0,3537.0,0.6747,0.8454,220.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2010-08-13,h10v04,4240.0,3537.0,0.5901,0.8392,234.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
,Ne1,41.16506,-96.47664,2010-08-29,h10v04,4240.0,3537.0,0.4358,0.7209,250.0,2112.0,0.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
